epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,842.896,1.34704,2.71486,1.20453,0.79939,0.65139,0.75626,0.49344,1.15281,2.37714,1.07846,0.000551221,0.000551221,0.000551221
2,1678.2,1.32035,1.87401,1.17868,0.75969,0.75868,0.79789,0.52097,1.21259,1.64045,1.13549,0.00108497,0.00108497,0.00108497
3,2500.48,1.28595,1.50331,1.16209,0.75812,0.75637,0.82326,0.55313,1.15826,1.29257,1.0945,0.00159672,0.00159672,0.00159672
4,3310.37,1.26635,1.28682,1.13574,0.70607,0.77909,0.73664,0.49596,1.14774,1.17437,1.08553,0.00156798,0.00156798,0.00156798
5,4136.82,1.25636,1.14764,1.13078,0.83986,0.69624,0.82737,0.58013,1.10954,1.12166,1.01795,0.00153497,0.00153497,0.00153497
6,4943.95,1.23649,1.08676,1.11154,0.80245,0.74503,0.8086,0.56639,1.08516,1.0886,1.01682,0.00150197,0.00150197,0.00150197
7,5764.98,1.22047,1.0321,1.10846,0.83462,0.72879,0.85175,0.58364,1.09484,1.01962,1.03908,0.00146896,0.00146896,0.00146896
8,6578.07,1.19371,0.99542,1.08991,0.8615,0.82508,0.88667,0.60809,1.0355,0.881,1.01346,0.00143595,0.00143595,0.00143595
9,7399.4,1.20387,0.98838,1.09482,0.8824,0.83435,0.89291,0.63373,1.03263,0.88341,0.99785,0.00140295,0.00140295,0.00140295
10,8219.51,1.16319,0.95,1.07949,0.87039,0.79374,0.88027,0.61755,1.05372,0.89816,1.02427,0.00136994,0.00136994,0.00136994
11,9040.33,1.15891,0.91886,1.066,0.77289,0.76383,0.82623,0.59013,1.01564,0.96172,1.00842,0.00133693,0.00133693,0.00133693
12,9849.67,1.15258,0.92323,1.07006,0.86015,0.87066,0.89782,0.63437,1.02877,0.82896,0.98178,0.00130393,0.00130393,0.00130393
13,10674.9,1.1394,0.88994,1.06532,0.86513,0.84438,0.91325,0.64527,1.0245,0.78469,1.00431,0.00127092,0.00127092,0.00127092
14,11489.5,1.13788,0.87791,1.06255,0.77381,0.83322,0.82745,0.58863,1.01246,0.98549,0.98441,0.00123791,0.00123791,0.00123791
15,12319.5,1.12266,0.87407,1.05622,0.84875,0.84937,0.90033,0.6584,0.99135,0.81697,1.00498,0.00120491,0.00120491,0.00120491
16,13129.4,1.13015,0.8626,1.05939,0.87961,0.75495,0.8849,0.62729,0.99117,0.88402,0.98057,0.0011719,0.0011719,0.0011719
17,13960.3,1.1341,0.85174,1.06392,0.93625,0.87356,0.93733,0.6636,1.00791,0.72822,0.98822,0.00113889,0.00113889,0.00113889
18,14777,1.08723,0.83702,1.04266,0.88307,0.83679,0.92233,0.67456,0.97332,0.79784,0.9842,0.00110589,0.00110589,0.00110589
19,15594.4,1.09004,0.81107,1.04545,0.85756,0.84196,0.90993,0.6644,0.97137,0.73151,0.977,0.00107288,0.00107288,0.00107288
20,16394.2,1.09478,0.81509,1.04383,0.93227,0.86563,0.92783,0.68387,0.94433,0.70435,0.96459,0.00103987,0.00103987,0.00103987
21,17215.8,1.0906,0.81095,1.04635,0.8755,0.84071,0.9107,0.67056,0.9574,0.72776,0.96116,0.00100687,0.00100687,0.00100687
22,18022,1.08195,0.80184,1.03584,0.88975,0.86126,0.92874,0.68047,0.96769,0.68053,0.96289,0.000973861,0.000973861,0.000973861
23,18844,1.07692,0.80466,1.03958,0.89387,0.82902,0.90442,0.66227,0.97044,0.7319,0.96868,0.000940855,0.000940855,0.000940855
24,19652.9,1.06859,0.79168,1.02756,0.8709,0.81442,0.87337,0.63791,0.95832,0.74018,0.97503,0.000907848,0.000907848,0.000907848
25,20470.2,1.05376,0.76574,1.02569,0.89833,0.85007,0.9305,0.68803,0.96664,0.69342,0.96879,0.000874842,0.000874842,0.000874842
26,21280.4,1.05462,0.77452,1.02505,0.8925,0.89996,0.92786,0.68604,0.93734,0.67191,0.96261,0.000841835,0.000841835,0.000841835
27,22096.4,1.06273,0.7672,1.03109,0.89492,0.83259,0.9185,0.67292,0.95568,0.71146,0.96197,0.000808828,0.000808828,0.000808828
28,22906.8,1.05261,0.76818,1.02679,0.92448,0.89014,0.94238,0.69165,0.94078,0.64845,0.95665,0.000775822,0.000775822,0.000775822
29,23721,1.04592,0.76289,1.02693,0.91609,0.85147,0.93827,0.6945,0.94783,0.63697,0.95927,0.000742815,0.000742815,0.000742815
30,24524.5,1.02129,0.74031,1.01451,0.87988,0.82193,0.90569,0.66982,0.93881,0.73739,0.9583,0.000709809,0.000709809,0.000709809
31,25336.1,1.03947,0.74613,1.01886,0.89149,0.90329,0.92574,0.67247,0.95393,0.63456,0.97128,0.000676802,0.000676802,0.000676802
32,26137.2,1.04075,0.73205,1.01624,0.8741,0.85069,0.9097,0.67495,0.9457,0.68793,0.95576,0.000643795,0.000643795,0.000643795
33,26954.3,1.02321,0.7295,1.01453,0.90324,0.86652,0.93151,0.69384,0.91036,0.67614,0.94721,0.000610789,0.000610789,0.000610789
34,27760.6,1.02714,0.72434,1.02264,0.91531,0.89104,0.94546,0.71166,0.91195,0.64376,0.94528,0.000577782,0.000577782,0.000577782
35,28574,1.01154,0.70417,1.0084,0.89533,0.86284,0.92544,0.67942,0.90908,0.63775,0.95027,0.000544776,0.000544776,0.000544776
36,29380.3,1.01599,0.7136,1.01127,0.90329,0.85484,0.93165,0.6971,0.89155,0.64255,0.94501,0.000511769,0.000511769,0.000511769
37,30196.9,1.00295,0.70591,1.0053,0.92043,0.84474,0.92484,0.68735,0.9332,0.66609,0.94589,0.000478762,0.000478762,0.000478762
38,31008.1,0.99962,0.70343,1.00235,0.89594,0.88004,0.93162,0.68573,0.9282,0.63646,0.95397,0.000445756,0.000445756,0.000445756
39,31823.8,0.99341,0.70789,1.00599,0.90227,0.89539,0.93221,0.70022,0.89548,0.61477,0.94157,0.000412749,0.000412749,0.000412749
40,32626.3,0.98708,0.69871,0.99863,0.91034,0.86511,0.92486,0.70294,0.89145,0.62948,0.9425,0.000379743,0.000379743,0.000379743
41,33432,0.8888,0.57053,0.93642,0.93017,0.90048,0.94808,0.71189,0.89207,0.6082,0.94144,0.000346736,0.000346736,0.000346736
42,34219.8,0.88083,0.56739,0.93425,0.91724,0.91376,0.94657,0.70865,0.90188,0.59739,0.94389,0.000313729,0.000313729,0.000313729
43,35023,0.87055,0.54965,0.9252,0.91337,0.90254,0.93825,0.70876,0.90728,0.61038,0.94075,0.000280723,0.000280723,0.000280723
44,35815.8,0.86413,0.54341,0.93043,0.92015,0.9137,0.94923,0.72607,0.89911,0.59374,0.93869,0.000247716,0.000247716,0.000247716
